sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,statement_spans,num_statements,replaced_postag
22,alchemie,Es werden Versuche und Tests gemacht.,AUG-22,AUG,It's augmentation time!,dataaugmenter,0:=Es 1:=werden 2:=Versuche 3:=und 4:=Tests 5:=gemacht.,"[[2], [4]]",2,NOUN
23,alchemie,Es wurden Versuche und Experimente gemacht.,AUG-23,AUG,It's augmentation time!,dataaugmenter,0:=Es 1:=wurden 2:=Versuche 3:=und 4:=Experimente 5:=gemacht.,"[[2], [4]]",2,AUX
24,alchemie,Es werden Versuche und Experimente durchgeführt.,AUG-24,AUG,It's augmentation time!,dataaugmenter,0:=Es 1:=werden 2:=Versuche 3:=und 4:=Experimente 5:=durchgeführt.,"[[2], [4]]",2,VERB
25,alchemie,Damit man weiß wie etwas funktioniert.,AUG-25,AUG,It's augmentation time!,dataaugmenter,0:=Damit 1:=man 2:=weiß 3:=wie 4:=etwas 5:=funktioniert.,"[[0, 1, 2], [3, 4, 5]]",2,VERB
26,alchemie,Damit man versteht wie etwas geschieht.,AUG-26,AUG,It's augmentation time!,dataaugmenter,0:=Damit 1:=man 2:=versteht 3:=wie 4:=etwas 5:=geschieht.,"[[0, 1, 2], [3, 4, 5]]",2,VERB
27,alchemie,Durch Zufall entdeckt man neue Sachen.,AUG-27,AUG,It's augmentation time!,dataaugmenter,0:=Durch 1:=Zufall 2:=entdeckt 3:=man 4:=neue 5:=Sachen.,"[[0, 1, 2, 3, 4, 5]]",1,NOUN
28,alchemie,Durch Alchemie entdeckt man neue Erkenntnisse.,AUG-28,AUG,It's augmentation time!,dataaugmenter,0:=Durch 1:=Alchemie 2:=entdeckt 3:=man 4:=neue 5:=Erkenntnisse.,"[[0, 1, 2, 3, 4, 5]]",1,NOUN
29,alchemie,Durch Alchemie lernt man neue Sachen.,AUG-29,AUG,It's augmentation time!,dataaugmenter,0:=Durch 1:=Alchemie 2:=lernt 3:=man 4:=neue 5:=Sachen.,"[[0, 1, 2, 3, 4, 5]]",1,VERB
30,alchemie,Zum Thema wie man Porzellan macht.,AUG-30,AUG,It's augmentation time!,dataaugmenter,0:=Zum 1:=Thema 2:=wie 3:=man 4:=Porzellan 5:=macht.,"[[0, 1, 2, 3, 4, 5]]",1,NOUN
31,alchemie,Zum Beispiel wie man Sport macht.,AUG-31,AUG,It's augmentation time!,dataaugmenter,0:=Zum 1:=Beispiel 2:=wie 3:=man 4:=Sport 5:=macht.,"[[0, 1, 2, 3, 4, 5]]",1,NOUN
32,alchemie,Zum Beispiel wie man Porzellan verarbeitet.,AUG-32,AUG,It's augmentation time!,dataaugmenter,0:=Zum 1:=Beispiel 2:=wie 3:=man 4:=Porzellan 5:=verarbeitet.,"[[0, 1, 2, 3, 4, 5]]",1,VERB
33,alchemie,Oder wie man Fehler macht.,AUG-33,AUG,It's augmentation time!,dataaugmenter,0:=Oder 1:=wie 2:=man 3:=Fehler 4:=macht.,"[[0, 1, 2, 3, 4]]",1,NOUN
34,alchemie,Oder wie man Gold gewinnt.,AUG-34,AUG,It's augmentation time!,dataaugmenter,0:=Oder 1:=wie 2:=man 3:=Gold 4:=gewinnt.,"[[0, 1, 2, 3, 4]]",1,VERB
35,alcopop,Kaffee schmecken ähnlich wie Cola.,AUG-35,AUG,It's augmentation time!,dataaugmenter,0:=Kaffee 1:=schmecken 2:=ähnlich 3:=wie 4:=Cola.,"[[0, 1, 2, 3, 4]]",1,NOUN
36,alcopop,Alkopops schmecken ähnlich wie Fleisch.,AUG-36,AUG,It's augmentation time!,dataaugmenter,0:=Alkopops 1:=schmecken 2:=ähnlich 3:=wie 4:=Fleisch.,"[[0, 1, 2, 3, 4]]",1,PROPN
37,alcopop,Alkopops funktionieren ähnlich wie Cola.,AUG-37,AUG,It's augmentation time!,dataaugmenter,0:=Alkopops 1:=funktionieren 2:=ähnlich 3:=wie 4:=Cola.,"[[0, 1, 2, 3, 4]]",1,VERB
38,alcopop,Alkopops schmecken fast wie Cola.,AUG-38,AUG,It's augmentation time!,dataaugmenter,0:=Alkopops 1:=schmecken 2:=fast 3:=wie 4:=Cola.,"[[0, 1, 2, 3, 4]]",1,ADV
39,alcopop,Den Wein schmeckt man fast nicht.,AUG-39,AUG,It's augmentation time!,dataaugmenter,0:=Den 1:=Wein 2:=schmeckt 3:=man 4:=fast 5:=nicht.,"[[0, 1, 2, 3, 4, 5]]",1,NOUN
40,alcopop,Den Alkohol braucht man fast nicht.,AUG-40,AUG,It's augmentation time!,dataaugmenter,0:=Den 1:=Alkohol 2:=braucht 3:=man 4:=fast 5:=nicht.,"[[0, 1, 2, 3, 4, 5]]",1,VERB
41,alcopop,Den Alkohol schmeckt man gar nicht.,AUG-41,AUG,It's augmentation time!,dataaugmenter,0:=Den 1:=Alkohol 2:=schmeckt 3:=man 4:=gar 5:=nicht.,"[[0, 1, 2, 3, 4, 5]]",1,ADV
42,alcopop,Meistens werden Produkte in bunten Flaschen verkauft.,AUG-42,AUG,It's augmentation time!,dataaugmenter,0:=Meistens 1:=werden 2:=Produkte 3:=in 4:=bunten 5:=Flaschen 6:=verkauft.,"[[1, 2, 3, 6], [4]]",2,NOUN
43,alcopop,Meistens werden Alkopos in bunten Farben verkauft.,AUG-43,AUG,It's augmentation time!,dataaugmenter,0:=Meistens 1:=werden 2:=Alkopos 3:=in 4:=bunten 5:=Farben 6:=verkauft.,"[[1, 2, 3, 6], [4]]",2,NOUN
44,alcopop,Meistens wird Alkopos in bunten Flaschen verkauft.,AUG-44,AUG,It's augmentation time!,dataaugmenter,0:=Meistens 1:=wird 2:=Alkopos 3:=in 4:=bunten 5:=Flaschen 6:=verkauft.,"[[1, 2, 3, 6], [4]]",2,AUX
45,alcopop,Meistens werden Alkopos in bunten Flaschen angeboten.,AUG-45,AUG,It's augmentation time!,dataaugmenter,0:=Meistens 1:=werden 2:=Alkopos 3:=in 4:=bunten 5:=Flaschen 6:=angeboten.,"[[1, 2, 3, 6], [4]]",2,VERB
46,alcopop,Heute werden Alkopos in bunten Flaschen verkauft.,AUG-46,AUG,It's augmentation time!,dataaugmenter,0:=Heute 1:=werden 2:=Alkopos 3:=in 4:=bunten 5:=Flaschen 6:=verkauft.,"[[1, 2, 3, 6], [4]]",2,ADV
47,alcopop,Kaffee ist ein süßes Getränk.,AUG-47,AUG,It's augmentation time!,dataaugmenter,0:=Kaffee 1:=ist 2:=ein 3:=süßes 4:=Getränk.,"[[0, 1, 4], [3]]",2,PROPN
48,alcopop,Alcopop ist ein süßes Produkt.,AUG-48,AUG,It's augmentation time!,dataaugmenter,0:=Alcopop 1:=ist 2:=ein 3:=süßes 4:=Produkt.,"[[0, 1, 4], [3]]",2,NOUN
49,alcopop,Alcopop war ein süßes Getränk.,AUG-49,AUG,It's augmentation time!,dataaugmenter,0:=Alcopop 1:=war 2:=ein 3:=süßes 4:=Getränk.,"[[0, 1, 4], [3]]",2,AUX
50,alcopop,Alcopop ist ein deutsches Getränk.,AUG-50,AUG,It's augmentation time!,dataaugmenter,0:=Alcopop 1:=ist 2:=ein 3:=deutsches 4:=Getränk.,"[[0, 1, 4], [3]]",2,ADJ
51,alcopop,In diesem Sinne ist Alkohol.,AUG-51,AUG,It's augmentation time!,dataaugmenter,0:=In 1:=diesem 2:=Sinne 3:=ist 4:=Alkohol.,"[[0, 1, 2, 3, 4]]",1,NOUN
52,alcopop,In diesem Getränk steckt Alkohol.,AUG-52,AUG,It's augmentation time!,dataaugmenter,0:=In 1:=diesem 2:=Getränk 3:=steckt 4:=Alkohol.,"[[0, 1, 2, 3, 4]]",1,AUX
53,aldous-huxley,Henry Huxley kommt am 26. Juli 1894 auf die Welt.,AUG-53,AUG,It's augmentation time!,dataaugmenter,0:=Henry 1:=Huxley 2:=kommt 3:=am 4:=26. 5:=Juli 6:=1894 7:=auf 8:=die 9:=Welt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,PROPN
54,aldous-huxley,Aldous Williams kommt am 26. Juli 1894 auf die Welt.,AUG-54,AUG,It's augmentation time!,dataaugmenter,0:=Aldous 1:=Williams 2:=kommt 3:=am 4:=26. 5:=Juli 6:=1894 7:=auf 8:=die 9:=Welt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,PROPN
55,aldous-huxley,Aldous Huxley kommt am 26. September 1894 auf die Welt.,AUG-55,AUG,It's augmentation time!,dataaugmenter,0:=Aldous 1:=Huxley 2:=kommt 3:=am 4:=26. 5:=September 6:=1894 7:=auf 8:=die 9:=Welt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,NOUN
56,aldous-huxley,Aldous Huxley kommt am 26. Juli 1894 auf die Erde.,AUG-56,AUG,It's augmentation time!,dataaugmenter,0:=Aldous 1:=Huxley 2:=kommt 3:=am 4:=26. 5:=Juli 6:=1894 7:=auf 8:=die 9:=Erde.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,NOUN
57,aldous-huxley,Aldous Huxley kam am 26. Juli 1894 auf die Welt.,AUG-57,AUG,It's augmentation time!,dataaugmenter,0:=Aldous 1:=Huxley 2:=kam 3:=am 4:=26. 5:=Juli 6:=1894 7:=auf 8:=die 9:=Welt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,VERB
58,aldous-huxley,"In London, Surrey.",AUG-58,AUG,It's augmentation time!,dataaugmenter,"0:=In 1:=London, 2:=Surrey.",[],0,PROPN
59,aldous-huxley,"Er stirbt am 22. Dezember 1963. \newline In Los Angeles, USA. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmtesten Roman.",AUG-59,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=stirbt 2:=am 3:=22. 4:=Dezember 5:=1963. 6:=\newline 7:=In 8:=Los 9:=Angeles, 10:=USA. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahr 16:=1932: 17:=\newline 18:=Huxley 19:=schreibt 20:=seinen 21:=berühmtesten 22:=Roman.",[],0,NOUN
60,aldous-huxley,"Er stirbt am 22. November 1963. \newline In New Angeles, USA. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmtesten Roman.",AUG-60,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=stirbt 2:=am 3:=22. 4:=November 5:=1963. 6:=\newline 7:=In 8:=New 9:=Angeles, 10:=USA. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahr 16:=1932: 17:=\newline 18:=Huxley 19:=schreibt 20:=seinen 21:=berühmtesten 22:=Roman.",[],0,PROPN
61,aldous-huxley,"Er stirbt am 22. November 1963. \newline In Los Francisco, USA. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmtesten Roman.",AUG-61,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=stirbt 2:=am 3:=22. 4:=November 5:=1963. 6:=\newline 7:=In 8:=Los 9:=Francisco, 10:=USA. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahr 16:=1932: 17:=\newline 18:=Huxley 19:=schreibt 20:=seinen 21:=berühmtesten 22:=Roman.",[],0,PROPN
62,aldous-huxley,"Er stirbt am 22. November 1963. \newline In Los Angeles, er. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmtesten Roman.",AUG-62,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=stirbt 2:=am 3:=22. 4:=November 5:=1963. 6:=\newline 7:=In 8:=Los 9:=Angeles, 10:=er. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahr 16:=1932: 17:=\newline 18:=Huxley 19:=schreibt 20:=seinen 21:=berühmtesten 22:=Roman.",[],0,PROPN
63,aldous-huxley,"Er stirbt am 22. November 1963. \newline In Los Angeles, USA. \newline  \newline Im Jahre 1932: \newline Huxley schreibt seinen berühmtesten Roman.",AUG-63,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=stirbt 2:=am 3:=22. 4:=November 5:=1963. 6:=\newline 7:=In 8:=Los 9:=Angeles, 10:=USA. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahre 16:=1932: 17:=\newline 18:=Huxley 19:=schreibt 20:=seinen 21:=berühmtesten 22:=Roman.",[],0,NOUN
64,aldous-huxley,"Er stirbt am 22. November 1963. \newline In Los Angeles, USA. \newline  \newline Im Jahr 1932: \newline er schreibt seinen berühmtesten Roman.",AUG-64,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=stirbt 2:=am 3:=22. 4:=November 5:=1963. 6:=\newline 7:=In 8:=Los 9:=Angeles, 10:=USA. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahr 16:=1932: 17:=\newline 18:=er 19:=schreibt 20:=seinen 21:=berühmtesten 22:=Roman.",[],0,PROPN
65,aldous-huxley,"Er stirbt am 22. November 1963. \newline In Los Angeles, USA. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmtesten Artikel.",AUG-65,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=stirbt 2:=am 3:=22. 4:=November 5:=1963. 6:=\newline 7:=In 8:=Los 9:=Angeles, 10:=USA. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahr 16:=1932: 17:=\newline 18:=Huxley 19:=schreibt 20:=seinen 21:=berühmtesten 22:=Artikel.",[],0,NOUN
66,aldous-huxley,"Er starb am 22. November 1963. \newline In Los Angeles, USA. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmtesten Roman.",AUG-66,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=starb 2:=am 3:=22. 4:=November 5:=1963. 6:=\newline 7:=In 8:=Los 9:=Angeles, 10:=USA. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahr 16:=1932: 17:=\newline 18:=Huxley 19:=schreibt 20:=seinen 21:=berühmtesten 22:=Roman.",[],0,VERB
67,aldous-huxley,Den Science-fiction: \newline Schöne neue Wissenschaft \newline Es ist eine Dystopie.,AUG-67,AUG,It's augmentation time!,dataaugmenter,0:=Den 1:=Science-fiction: 2:=\newline 3:=Schöne 4:=neue 5:=Wissenschaft 6:=\newline 7:=Es 8:=ist 9:=eine 10:=Dystopie.,[],0,NOUN
68,aldous-huxley,Den Science-fiction: \newline Schöne neue Welt \newline Es ist eine Geschichte.,AUG-68,AUG,It's augmentation time!,dataaugmenter,0:=Den 1:=Science-fiction: 2:=\newline 3:=Schöne 4:=neue 5:=Welt 6:=\newline 7:=Es 8:=ist 9:=eine 10:=Geschichte.,[],0,NOUN
69,aldous-huxley,Den Science-fiction: \newline Schöne neue Welt \newline Es war eine Dystopie.,AUG-69,AUG,It's augmentation time!,dataaugmenter,0:=Den 1:=Science-fiction: 2:=\newline 3:=Schöne 4:=neue 5:=Welt 6:=\newline 7:=Es 8:=war 9:=eine 10:=Dystopie.,[],0,AUX
70,aldous-huxley,Bob Huxley war ein Schrift-steller.,AUG-70,AUG,It's augmentation time!,dataaugmenter,0:=Bob 1:=Huxley 2:=war 3:=ein 4:=Schrift-steller.,"[[0, 1, 2, 3, 4]]",1,PROPN
71,aldous-huxley,Aldous Vater war ein Schrift-steller.,AUG-71,AUG,It's augmentation time!,dataaugmenter,0:=Aldous 1:=Vater 2:=war 3:=ein 4:=Schrift-steller.,"[[0, 1, 2, 3, 4]]",1,PROPN
72,aldous-huxley,Aldous Huxley war ein Leichtathlet.,AUG-72,AUG,It's augmentation time!,dataaugmenter,0:=Aldous 1:=Huxley 2:=war 3:=ein 4:=Leichtathlet.,"[[0, 1, 2, 3, 4]]",1,NOUN
73,aldous-huxley,Aldous Huxley ist ein Schrift-steller.,AUG-73,AUG,It's augmentation time!,dataaugmenter,0:=Aldous 1:=Huxley 2:=ist 3:=ein 4:=Schrift-steller.,"[[0, 1, 2, 3, 4]]",1,AUX
74,aleppo,Berlin ist eine sehr alte Stadt.,AUG-74,AUG,It's augmentation time!,dataaugmenter,0:=Berlin 1:=ist 2:=eine 3:=sehr 4:=alte 5:=Stadt.,"[[3, 4], [5]]",2,PROPN
75,aleppo,Aleppo ist eine sehr alte Zeit.,AUG-75,AUG,It's augmentation time!,dataaugmenter,0:=Aleppo 1:=ist 2:=eine 3:=sehr 4:=alte 5:=Zeit.,"[[3, 4], [5]]",2,NOUN
76,aleppo,Aleppo sei eine sehr alte Stadt.,AUG-76,AUG,It's augmentation time!,dataaugmenter,0:=Aleppo 1:=sei 2:=eine 3:=sehr 4:=alte 5:=Stadt.,"[[3, 4], [5]]",2,AUX
77,aleppo,Aleppo ist eine gute alte Stadt.,AUG-77,AUG,It's augmentation time!,dataaugmenter,0:=Aleppo 1:=ist 2:=eine 3:=gute 4:=alte 5:=Stadt.,"[[3, 4], [5]]",2,ADV
78,aleppo,Aleppo ist eine sehr große Stadt.,AUG-78,AUG,It's augmentation time!,dataaugmenter,0:=Aleppo 1:=ist 2:=eine 3:=sehr 4:=große 5:=Stadt.,"[[3, 4], [5]]",2,ADJ
79,aleppo,Menschen haben hier schon 3 Tausend Jahren vor Christus gelebt.,AUG-79,AUG,It's augmentation time!,dataaugmenter,0:=Menschen 1:=haben 2:=hier 3:=schon 4:=3 5:=Tausend 6:=Jahren 7:=vor 8:=Christus 9:=gelebt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,NOUN
80,aleppo,Menschen haben hier schon 3 Tausend Jahre vor Ort gelebt.,AUG-80,AUG,It's augmentation time!,dataaugmenter,0:=Menschen 1:=haben 2:=hier 3:=schon 4:=3 5:=Tausend 6:=Jahre 7:=vor 8:=Ort 9:=gelebt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,PROPN
81,aleppo,Menschen hatten hier schon 3 Tausend Jahre vor Christus gelebt.,AUG-81,AUG,It's augmentation time!,dataaugmenter,0:=Menschen 1:=hatten 2:=hier 3:=schon 4:=3 5:=Tausend 6:=Jahre 7:=vor 8:=Christus 9:=gelebt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,AUX
82,aleppo,Menschen haben hier schon 3 Tausend Jahre vor Christus gewohnt.,AUG-82,AUG,It's augmentation time!,dataaugmenter,0:=Menschen 1:=haben 2:=hier 3:=schon 4:=3 5:=Tausend 6:=Jahre 7:=vor 8:=Christus 9:=gewohnt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,VERB
83,aleppo,Menschen haben wahrscheinlich schon 3 Tausend Jahre vor Christus gelebt.,AUG-83,AUG,It's augmentation time!,dataaugmenter,0:=Menschen 1:=haben 2:=wahrscheinlich 3:=schon 4:=3 5:=Tausend 6:=Jahre 7:=vor 8:=Christus 9:=gelebt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,ADV
84,aleppo,Menschen haben hier etwa 3 Tausend Jahre vor Christus gelebt.,AUG-84,AUG,It's augmentation time!,dataaugmenter,0:=Menschen 1:=haben 2:=hier 3:=etwa 4:=3 5:=Tausend 6:=Jahre 7:=vor 8:=Christus 9:=gelebt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1,ADV
85,aleppo,"Im Sommer 2008 haben ungefähr 1,7 Millionen Menschen in Aleppo gewohnt.",AUG-85,AUG,It's augmentation time!,dataaugmenter,"0:=Im 1:=Sommer 2:=2008 3:=haben 4:=ungefähr 5:=1,7 6:=Millionen 7:=Menschen 8:=in 9:=Aleppo 10:=gewohnt.","[[0, 1, 2], [4, 5, 6]]",2,NOUN
86,aleppo,"Im Jahr 2008 haben ungefähr 1,7 Milliarden Menschen in Aleppo gewohnt.",AUG-86,AUG,It's augmentation time!,dataaugmenter,"0:=Im 1:=Jahr 2:=2008 3:=haben 4:=ungefähr 5:=1,7 6:=Milliarden 7:=Menschen 8:=in 9:=Aleppo 10:=gewohnt.","[[0, 1, 2], [4, 5, 6]]",2,NOUN
87,aleppo,"Im Jahr 2008 haben ungefähr 1,7 Millionen Flüchtlinge in Aleppo gewohnt.",AUG-87,AUG,It's augmentation time!,dataaugmenter,"0:=Im 1:=Jahr 2:=2008 3:=haben 4:=ungefähr 5:=1,7 6:=Millionen 7:=Flüchtlinge 8:=in 9:=Aleppo 10:=gewohnt.","[[0, 1, 2], [4, 5, 6]]",2,NOUN
88,aleppo,"Im Jahr 2008 haben ungefähr 1,7 Millionen Menschen in Deutschland gewohnt.",AUG-88,AUG,It's augmentation time!,dataaugmenter,"0:=Im 1:=Jahr 2:=2008 3:=haben 4:=ungefähr 5:=1,7 6:=Millionen 7:=Menschen 8:=in 9:=Deutschland 10:=gewohnt.","[[0, 1, 2], [4, 5, 6]]",2,PROPN
89,aleppo,"Im Jahr 2008 hatten ungefähr 1,7 Millionen Menschen in Aleppo gewohnt.",AUG-89,AUG,It's augmentation time!,dataaugmenter,"0:=Im 1:=Jahr 2:=2008 3:=hatten 4:=ungefähr 5:=1,7 6:=Millionen 7:=Menschen 8:=in 9:=Aleppo 10:=gewohnt.","[[0, 1, 2], [4, 5, 6]]",2,AUX
90,aleppo,"Im Jahr 2008 haben ungefähr 1,7 Millionen Menschen in Aleppo gelebt.",AUG-90,AUG,It's augmentation time!,dataaugmenter,"0:=Im 1:=Jahr 2:=2008 3:=haben 4:=ungefähr 5:=1,7 6:=Millionen 7:=Menschen 8:=in 9:=Aleppo 10:=gelebt.","[[0, 1, 2], [4, 5, 6]]",2,VERB
91,aleppo,"Im Jahr 2008 haben rund 1,7 Millionen Menschen in Aleppo gewohnt.",AUG-91,AUG,It's augmentation time!,dataaugmenter,"0:=Im 1:=Jahr 2:=2008 3:=haben 4:=rund 5:=1,7 6:=Millionen 7:=Menschen 8:=in 9:=Aleppo 10:=gewohnt.","[[0, 1, 2], [4, 5, 6]]",2,ADV
92,aleppo,Die meisten Einwohner in Aleppo sind Araber und Kurden.,AUG-92,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=meisten 2:=Einwohner 3:=in 4:=Aleppo 5:=sind 6:=Araber 7:=und 8:=Kurden.,"[[6], [8]]",2,NOUN
