sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,statement_spans,num_statements
12,alchemie,Oder wie man Fehler erkennt.,AUG-12,AUG,It's augmentation time!,dataaugmenter,0:=Oder 1:=wie 2:=man 3:=Fehler 4:=erkennt.,"[[0, 1, 2, 3, 4]]",1
13,alcopop,Kaffee klingt fast wie Cola.,AUG-13,AUG,It's augmentation time!,dataaugmenter,0:=Kaffee 1:=klingt 2:=fast 3:=wie 4:=Cola.,"[[0, 1, 2, 3, 4]]",1
14,alcopop,Den Wein braucht man gar nicht.,AUG-14,AUG,It's augmentation time!,dataaugmenter,0:=Den 1:=Wein 2:=braucht 3:=man 4:=gar 5:=nicht.,"[[0, 1, 2, 3, 4, 5]]",1
15,alcopop,Außerdem wurden Produkte in bunten Flaschen verkauft.,AUG-15,AUG,It's augmentation time!,dataaugmenter,0:=Außerdem 1:=wurden 2:=Produkte 3:=in 4:=bunten 5:=Flaschen 6:=verkauft.,"[[1, 2, 3, 6], [4]]",2
16,alcopop,Kaffee war ein gutes Getränk.,AUG-16,AUG,It's augmentation time!,dataaugmenter,0:=Kaffee 1:=war 2:=ein 3:=gutes 4:=Getränk.,"[[0, 1, 4], [3]]",2
17,alcopop,In diesem Sinne bedeutet Alkohol.,AUG-17,AUG,It's augmentation time!,dataaugmenter,0:=In 1:=diesem 2:=Sinne 3:=bedeutet 4:=Alkohol.,"[[0, 1, 2, 3, 4]]",1
18,aldous-huxley,Henry Huxley kam am 26. Juli 1894 auf die Welt.,AUG-18,AUG,It's augmentation time!,dataaugmenter,0:=Henry 1:=Huxley 2:=kam 3:=am 4:=26. 5:=Juli 6:=1894 7:=auf 8:=die 9:=Welt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1
19,aldous-huxley,"In London, Surrey.",AUG-19,AUG,It's augmentation time!,dataaugmenter,"0:=In 1:=London, 2:=Surrey.",[],0
20,aldous-huxley,"Er starb am 22. Dezember 1963. \newline In Los Angeles, USA. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmten Roman.",AUG-20,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=starb 2:=am 3:=22. 4:=Dezember 5:=1963. 6:=\newline 7:=In 8:=Los 9:=Angeles, 10:=USA. 11:=\newline 12:= 13:=\newline 14:=Im 15:=Jahr 16:=1932: 17:=\newline 18:=Huxley 19:=schreibt 20:=seinen 21:=berühmten 22:=Roman.",[],0
21,aldous-huxley,Den Namen: \newline Schöne schöne Welt \newline Es war eine Dystopie.,AUG-21,AUG,It's augmentation time!,dataaugmenter,0:=Den 1:=Namen: 2:=\newline 3:=Schöne 4:=schöne 5:=Welt 6:=\newline 7:=Es 8:=war 9:=eine 10:=Dystopie.,[],0
22,aldous-huxley,Bob Huxley ist ein Schrift-steller.,AUG-22,AUG,It's augmentation time!,dataaugmenter,0:=Bob 1:=Huxley 2:=ist 3:=ein 4:=Schrift-steller.,"[[0, 1, 2, 3, 4]]",1
23,aleppo,Berlin war eine gute alte Stadt.,AUG-23,AUG,It's augmentation time!,dataaugmenter,0:=Berlin 1:=war 2:=eine 3:=gute 4:=alte 5:=Stadt.,"[[3, 4], [5]]",2
24,aleppo,Schweine hatten dort schon 3 Tausend Jahre vor Christus gelebt.,AUG-24,AUG,It's augmentation time!,dataaugmenter,0:=Schweine 1:=hatten 2:=dort 3:=schon 4:=3 5:=Tausend 6:=Jahre 7:=vor 8:=Christus 9:=gelebt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1
25,aleppo,"Im Sommer 2008 hatten etwa 1,7 Millionen Menschen in Aleppo gewohnt.",AUG-25,AUG,It's augmentation time!,dataaugmenter,"0:=Im 1:=Sommer 2:=2008 3:=hatten 4:=etwa 5:=1,7 6:=Millionen 7:=Menschen 8:=in 9:=Aleppo 10:=gewohnt.","[[0, 1, 2], [4, 5, 6]]",2
26,aleppo,Die meisten Einwohner in Aleppo stellen Araber und Kurden.,AUG-26,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=meisten 2:=Einwohner 3:=in 4:=Aleppo 5:=stellen 6:=Araber 7:=und 8:=Kurden.,"[[6], [8]]",2
27,aleppo,Das ist: \newline Die meisten Bewohner in Aleppo sind Muslime.,AUG-27,AUG,It's augmentation time!,dataaugmenter,0:=Das 1:=ist: 2:=\newline 3:=Die 4:=meisten 5:=Bewohner 6:=in 7:=Aleppo 8:=sind 9:=Muslime.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1
28,aleppo,In Berlin gab es mehr Christ.,AUG-28,AUG,It's augmentation time!,dataaugmenter,0:=In 1:=Berlin 2:=gab 3:=es 4:=mehr 5:=Christ.,"[[0, 1, 2, 3, 4, 5]]",1
29,aleppo,Etwa 15 Millionen der Menschen in Aleppo seien Christen.,AUG-29,AUG,It's augmentation time!,dataaugmenter,0:=Etwa 1:=15 2:=Millionen 3:=der 4:=Menschen 5:=in 6:=Aleppo 7:=seien 8:=Christen.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",1
30,aleppo,Im Jahre 1952 habe ein Architekt neue Straßen geplant.,AUG-30,AUG,It's augmentation time!,dataaugmenter,0:=Im 1:=Jahre 2:=1952 3:=habe 4:=ein 5:=Architekt 6:=neue 7:=Straßen 8:=geplant.,"[[0, 1, 2], [3, 5, 6, 7, 8]]",2
31,aleppo,Lange und breite Straßen.,AUG-31,AUG,It's augmentation time!,dataaugmenter,0:=Lange 1:=und 2:=breite 3:=Straßen.,[],0
32,aleppo,Ab dem Jahre 1970 war Bau-arbeiter in der Alt-stadt.,AUG-32,AUG,It's augmentation time!,dataaugmenter,0:=Ab 1:=dem 2:=Jahre 3:=1970 4:=war 5:=Bau-arbeiter 6:=in 7:=der 8:=Alt-stadt.,"[[0, 1, 2, 3], [5, 6, 7, 8]]",2
33,aleppo,Sie habe viele große Gebäude abgerissen.,AUG-33,AUG,It's augmentation time!,dataaugmenter,0:=Sie 1:=habe 2:=viele 3:=große 4:=Gebäude 5:=abgerissen.,"[[0, 1, 4, 5], [2, 3]]",2
34,aleppo,"Und dort, moderne Wohnungen entstehen.",AUG-34,AUG,It's augmentation time!,dataaugmenter,"0:=Und 1:=dort, 2:=moderne 3:=Wohnungen 4:=entstehen.","[[2], [3]]",2
35,aleppo,Im Jahre 1986 habe die UNESCO gesagt: \newline Die Alt-stadt von Aleppo ist jetzt Welt-kultur-erbe.,AUG-35,AUG,It's augmentation time!,dataaugmenter,0:=Im 1:=Jahre 2:=1986 3:=habe 4:=die 5:=UNESCO 6:=gesagt: 7:=\newline 8:=Die 9:=Alt-stadt 10:=von 11:=Aleppo 12:=ist 13:=jetzt 14:=Welt-kultur-erbe.,"[[0, 1, 2], [3, 5, 6], [9, 10, 11, 12, 14], [13]]",4
36,aleppo,In Deutschland sind Bürger-krieg.,AUG-36,AUG,It's augmentation time!,dataaugmenter,0:=In 1:=Deutschland 2:=sind 3:=Bürger-krieg.,"[[0, 1, 2, 3]]",1
37,aleppo,Viele Autos gehen weg.,AUG-37,AUG,It's augmentation time!,dataaugmenter,0:=Viele 1:=Autos 2:=gehen 3:=weg.,"[[0, 1, 2, 3]]",1
38,aleppo,Viele Menschen seien geflüchtet.,AUG-38,AUG,It's augmentation time!,dataaugmenter,0:=Viele 1:=Menschen 2:=seien 3:=geflüchtet.,"[[0, 1, 2, 3]]",1
39,aleppo,Al war eine Stadt in Syrien.,AUG-39,AUG,It's augmentation time!,dataaugmenter,0:=Al 1:=war 2:=eine 3:=Stadt 4:=in 5:=Syrien.,"[[0, 1, 3], [4, 5]]",2
40,aleppo,Bagdad sei die größte Stadt in Syrien.,AUG-40,AUG,It's augmentation time!,dataaugmenter,0:=Bagdad 1:=sei 2:=die 3:=größte 4:=Stadt 5:=in 6:=Syrien.,"[[3, 4], [5, 6]]",2
41,aleppo,Die wichtigste Großstadt in Syrien bleibt Damaskus.,AUG-41,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=wichtigste 2:=Großstadt 3:=in 4:=Syrien 5:=bleibt 6:=Damaskus.,"[[5, 6], [1], [3, 4]]",3
42,aleviten,Der Name Ali ibn Abi Talib war den Aleviten besonders wichtig.,AUG-42,AUG,It's augmentation time!,dataaugmenter,0:=Der 1:=Name 2:=Ali 3:=ibn 4:=Abi 5:=Talib 6:=war 7:=den 8:=Aleviten 9:=besonders 10:=wichtig.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",1
43,aleviten,Dieser Sohn war der Schwieger-sohn von Mohammed.,AUG-43,AUG,It's augmentation time!,dataaugmenter,0:=Dieser 1:=Sohn 2:=war 3:=der 4:=Schwieger-sohn 5:=von 6:=Mohammed.,"[[0, 1, 2, 3, 4, 5, 6]]",1
44,aleviten,Die Lage der Aleviten sei völlig anders als die der meisten Muslime.,AUG-44,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=Lage 2:=der 3:=Aleviten 4:=sei 5:=völlig 6:=anders 7:=als 8:=die 9:=der 10:=meisten 11:=Muslime.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1
45,aleviten,Zum Glück trugen die meisten deutschen Frauen kein Kopftuch.,AUG-45,AUG,It's augmentation time!,dataaugmenter,0:=Zum 1:=Glück 2:=trugen 3:=die 4:=meisten 5:=deutschen 6:=Frauen 7:=kein 8:=Kopftuch.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",1
46,aleviten,Fast ein Viertel der Menschen in der Türkei waren Aleviten.,AUG-46,AUG,It's augmentation time!,dataaugmenter,0:=Fast 1:=ein 2:=Viertel 3:=der 4:=Menschen 5:=in 6:=der 7:=Türkei 8:=waren 9:=Aleviten.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1
47,aleviten,Die Kirchen bilden eine Religions-gemeinschaft.,AUG-47,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=Kirchen 2:=bilden 3:=eine 4:=Religions-gemeinschaft.,"[[0, 1, 2, 3, 4]]",1
48,aleviten,Eine Person verletzte mehrere Menschen.,AUG-48,AUG,It's augmentation time!,dataaugmenter,0:=Eine 1:=Person 2:=verletzte 3:=mehrere 4:=Menschen.,"[[0, 1, 2, 3, 4]]",1
49,aleviten,Sie habe eine positive Einstellung.,AUG-49,AUG,It's augmentation time!,dataaugmenter,0:=Sie 1:=habe 2:=eine 3:=positive 4:=Einstellung.,"[[0, 1, 2, 3, 4]]",1
50,aleviten,Die Mehrheit der Aleviten stammt aus der Türkei.,AUG-50,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=Mehrheit 2:=der 3:=Aleviten 4:=stammt 5:=aus 6:=der 7:=Türkei.,"[[0, 1, 2, 3, 4, 5, 6, 7]]",1
51,aleviten,Einige Menschen bezeichnen sich als Muslime.,AUG-51,AUG,It's augmentation time!,dataaugmenter,0:=Einige 1:=Menschen 2:=bezeichnen 3:=sich 4:=als 5:=Muslime.,"[[0, 1, 2, 3, 4, 5]]",1
52,aleviten,Deutsche Menschen fühlen sich nicht als Muslime.,AUG-52,AUG,It's augmentation time!,dataaugmenter,0:=Deutsche 1:=Menschen 2:=fühlen 3:=sich 4:=nicht 5:=als 6:=Muslime.,"[[0, 1, 2, 3, 4, 5, 6]]",1
53,alex-honnold,Er sei auf einen ganz großen Vorsprung geklettert.,AUG-53,AUG,It's augmentation time!,dataaugmenter,0:=Er 1:=sei 2:=auf 3:=einen 4:=ganz 5:=großen 6:=Vorsprung 7:=geklettert.,"[[4, 5], [0, 1, 2, 7]]",2
54,alex-honnold,Der Name bedeutet: El Capitan.,AUG-54,AUG,It's augmentation time!,dataaugmenter,0:=Der 1:=Name 2:=bedeutet: 3:=El 4:=Capitan.,"[[0, 1, 2, 3, 4]]",1
55,alex-honnold,Die Straße war etwa 1000 Meter lang.,AUG-55,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=Straße 2:=war 3:=etwa 4:=1000 5:=Meter 6:=lang.,"[[0, 1, 2, 3, 4, 5, 6]]",1
56,alex-honnold,Über David Honnold gab es einen Film.,AUG-56,AUG,It's augmentation time!,dataaugmenter,0:=Über 1:=David 2:=Honnold 3:=gab 4:=es 5:=einen 6:=Film.,"[[0, 1, 2, 3, 4, 5, 6]]",1
57,alex-honnold,Er heißt: Free Solo.,AUG-57,AUG,It's augmentation time!,dataaugmenter,0:=Er 1:=heißt: 2:=Free 3:=Solo.,"[[0, 1, 2, 3]]",1
58,alex-honnold,David Honnold war ein britischer Free Solo Kletterer.,AUG-58,AUG,It's augmentation time!,dataaugmenter,0:=David 1:=Honnold 2:=war 3:=ein 4:=britischer 5:=Free 6:=Solo 7:=Kletterer.,"[[4], [5, 6, 7]]",2
59,alex-honnold,Er wurde am 17. September 1985 geboren.,AUG-59,AUG,It's augmentation time!,dataaugmenter,0:=Er 1:=wurde 2:=am 3:=17. 4:=September 5:=1985 6:=geboren.,"[[0, 1, 2, 3, 4, 5, 6]]",1
60,alex-honnold,In den Hauptrollen.,AUG-60,AUG,It's augmentation time!,dataaugmenter,0:=In 1:=den 2:=Hauptrollen.,[],0
61,alexander-graham-bell,Charles Graham Bell kam am 3. März 1847 auf die Welt.,AUG-61,AUG,It's augmentation time!,dataaugmenter,0:=Charles 1:=Graham 2:=Bell 3:=kam 4:=am 5:=3. 6:=März 7:=1847 8:=auf 9:=die 10:=Welt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",1
62,alexander-graham-bell,"In England, Schottland.",AUG-62,AUG,It's augmentation time!,dataaugmenter,"0:=In 1:=England, 2:=Schottland.",[],0
63,alexander-graham-bell,"Er starb am 2. Dezember 1922. \newline In Baddeck, Kanada.",AUG-63,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=starb 2:=am 3:=2. 4:=Dezember 5:=1922. 6:=\newline 7:=In 8:=Baddeck, 9:=Kanada.","[[2, 3, 4, 5], [7, 8], [9]]",3
64,alexander-graham-bell,Der Roman von Alexander Graham Bell habe sich mit Sprech-technik beschäftigt.,AUG-64,AUG,It's augmentation time!,dataaugmenter,0:=Der 1:=Roman 2:=von 3:=Alexander 4:=Graham 5:=Bell 6:=habe 7:=sich 8:=mit 9:=Sprech-technik 10:=beschäftigt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",1
65,alexander-graham-bell,Der Sohn von Bell war Alexander Melville Bell.,AUG-65,AUG,It's augmentation time!,dataaugmenter,0:=Der 1:=Sohn 2:=von 3:=Bell 4:=war 5:=Alexander 6:=Melville 7:=Bell.,"[[0, 1, 2, 3, 4, 5, 6, 7]]",1
66,alexander-graham-bell,Der Sohn von Bell wurde Professor für Rede-kunst und Vortrags-kunst.,AUG-66,AUG,It's augmentation time!,dataaugmenter,0:=Der 1:=Sohn 2:=von 3:=Bell 4:=wurde 5:=Professor 6:=für 7:=Rede-kunst 8:=und 9:=Vortrags-kunst.,"[[0, 1, 2, 3, 4], [6, 7], [6, 9]]",3
67,alexander-graham-bell,Der Mann habe eine Laut-schrift erfunden.,AUG-67,AUG,It's augmentation time!,dataaugmenter,0:=Der 1:=Mann 2:=habe 3:=eine 4:=Laut-schrift 5:=erfunden.,"[[0, 1, 2, 3, 4, 5]]",1
68,alexander-graham-bell,Die Serie hieß Visible Speech.,AUG-68,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=Serie 2:=hieß 3:=Visible 4:=Speech.,"[[0, 1, 2, 3, 4]]",1
69,alexander-graham-bell,Die Schwester von Bell war Eliza Symonds Bell.,AUG-69,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=Schwester 2:=von 3:=Bell 4:=war 5:=Eliza 6:=Symonds 7:=Bell.,"[[0, 1, 2, 3, 4, 5, 6, 7]]",1
70,alexander-graham-bell,Die Bevölkerung ist mehrheitlich schwerhörig.,AUG-70,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=Bevölkerung 2:=ist 3:=mehrheitlich 4:=schwerhörig.,"[[0, 1, 2, 3, 4]]",1
71,alexander-graham-bell,er habe mit ihr mit einer tiefen Stimme gesprochen.,AUG-71,AUG,It's augmentation time!,dataaugmenter,0:=er 1:=habe 2:=mit 3:=ihr 4:=mit 5:=einer 6:=tiefen 7:=Stimme 8:=gesprochen.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",1
72,alexander-graham-bell,Dann konnte sie ihn besser hören.,AUG-72,AUG,It's augmentation time!,dataaugmenter,0:=Dann 1:=konnte 2:=sie 3:=ihn 4:=besser 5:=hören.,"[[0, 1, 2, 3, 4, 5]]",1
73,alexander-graham-bell,er lebt in Edinburgh.,AUG-73,AUG,It's augmentation time!,dataaugmenter,0:=er 1:=lebt 2:=in 3:=Edinburgh.,"[[0, 1, 2, 3]]",1
74,alexander-graham-bell,Er studierte die Sprachen Latein und Griechisch.,AUG-74,AUG,It's augmentation time!,dataaugmenter,0:=Er 1:=studierte 2:=die 3:=Sprachen 4:=Latein 5:=und 6:=Griechisch.,"[[4], [6]]",2
75,alexander-graham-bell,Mit 17 Uhr wurde Bell Lehrer.,AUG-75,AUG,It's augmentation time!,dataaugmenter,0:=Mit 1:=17 2:=Uhr 3:=wurde 4:=Bell 5:=Lehrer.,"[[0, 1, 2], [3, 4, 5]]",2
76,alexander-graham-bell,An der einer Hochschule für Sprech-technik und Musik.,AUG-76,AUG,It's augmentation time!,dataaugmenter,0:=An 1:=der 2:=einer 3:=Hochschule 4:=für 5:=Sprech-technik 6:=und 7:=Musik.,[],0
77,alexander-graham-bell,In seiner Arbeitsgruppe entwickelte er.,AUG-77,AUG,It's augmentation time!,dataaugmenter,0:=In 1:=seiner 2:=Arbeitsgruppe 3:=entwickelte 4:=er.,"[[0, 1, 2, 3, 4]]",1
78,alexander-graham-bell,Er gehört zum Bereich Akustik.,AUG-78,AUG,It's augmentation time!,dataaugmenter,0:=Er 1:=gehört 2:=zum 3:=Bereich 4:=Akustik.,"[[0, 1, 2, 3, 4]]",1
79,alexander-graham-bell,Sein Sohn studierte in einer Universität in London.,AUG-79,AUG,It's augmentation time!,dataaugmenter,0:=Sein 1:=Sohn 2:=studierte 3:=in 4:=einer 5:=Universität 6:=in 7:=London.,"[[3, 5], [6, 7]]",2
80,alexander-graham-bell,Dort wurde er Professor für Sprach-technik.,AUG-80,AUG,It's augmentation time!,dataaugmenter,0:=Dort 1:=wurde 2:=er 3:=Professor 4:=für 5:=Sprach-technik.,"[[0, 1, 2, 3, 4, 5]]",1
81,alexander-graham-bell,Er setzte seinen Vater als Assistenten fort.,AUG-81,AUG,It's augmentation time!,dataaugmenter,0:=Er 1:=setzte 2:=seinen 3:=Vater 4:=als 5:=Assistenten 6:=fort.,"[[2, 3], [4, 5]]",2
82,alexander-graham-bell,Seit dem Jahre 1868 wird Alexander Graham Bell Sprech-unterricht.,AUG-82,AUG,It's augmentation time!,dataaugmenter,0:=Seit 1:=dem 2:=Jahre 3:=1868 4:=wird 5:=Alexander 6:=Graham 7:=Bell 8:=Sprech-unterricht.,"[[0, 2, 3], [4, 5, 6, 7, 8]]",2
83,alexander-graham-bell,Für gehörlose Menschen.,AUG-83,AUG,It's augmentation time!,dataaugmenter,0:=Für 1:=gehörlose 2:=Menschen.,[],0
84,alexander-graham-bell,Sir Graham Bell ist bist zum Jahr 1870. \newline Er studiert alles über die menschliche Stimme.,AUG-84,AUG,It's augmentation time!,dataaugmenter,0:=Sir 1:=Graham 2:=Bell 3:=ist 4:=bist 5:=zum 6:=Jahr 7:=1870. 8:=\newline 9:=Er 10:=studiert 11:=alles 12:=über 13:=die 14:=menschliche 15:=Stimme.,[],0
85,alexander-graham-bell,Im Jahre 1870 zog die Familie Bell nach Kanada.,AUG-85,AUG,It's augmentation time!,dataaugmenter,0:=Im 1:=Jahre 2:=1870 3:=zog 4:=die 5:=Familie 6:=Bell 7:=nach 8:=Kanada.,"[[0, 1, 2], [3, 5, 6, 7, 8]]",2
86,alexander-graham-bell,Im Jahre 1871 wurde Bell Gehörlosenlehrer.,AUG-86,AUG,It's augmentation time!,dataaugmenter,0:=Im 1:=Jahre 2:=1871 3:=wurde 4:=Bell 5:=Gehörlosenlehrer.,"[[0, 1, 2], [3, 4, 5]]",2
87,alexander-graham-bell,"An der Williams School in Northampton, Massachusetts.",AUG-87,AUG,It's augmentation time!,dataaugmenter,"0:=An 1:=der 2:=Williams 3:=School 4:=in 5:=Northampton, 6:=Massachusetts.",[],0
88,alexander-graham-bell,Vom Jahre 1873 bis zum Jahr 1877 war Bell Professor.,AUG-88,AUG,It's augmentation time!,dataaugmenter,0:=Vom 1:=Jahre 2:=1873 3:=bis 4:=zum 5:=Jahr 6:=1877 7:=war 8:=Bell 9:=Professor.,"[[0, 1, 2], [3, 4, 5, 6]]",2
89,alexander-graham-bell,Er war Experte für Sprech-technik und Physiologie der Stimme.,AUG-89,AUG,It's augmentation time!,dataaugmenter,0:=Er 1:=war 2:=Experte 3:=für 4:=Sprech-technik 5:=und 6:=Physiologie 7:=der 8:=Stimme.,"[[4], [6, 8]]",2
90,alexander-graham-bell,An der University Boston.,AUG-90,AUG,It's augmentation time!,dataaugmenter,0:=An 1:=der 2:=University 3:=Boston.,[],0
91,alexander-graham-bell,Sie habe sich an der Business School kennen gelernt.,AUG-91,AUG,It's augmentation time!,dataaugmenter,0:=Sie 1:=habe 2:=sich 3:=an 4:=der 5:=Business 6:=School 7:=kennen 8:=gelernt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",1
92,alexander-graham-bell,James Graham Bell war einer der Erfinder vom Telefon.,AUG-92,AUG,It's augmentation time!,dataaugmenter,0:=James 1:=Graham 2:=Bell 3:=war 4:=einer 5:=der 6:=Erfinder 7:=vom 8:=Telefon.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",1
93,alexander-graham-bell,James Graham Bell ist ein Sprach-lehrer für Gehörlose.,AUG-93,AUG,It's augmentation time!,dataaugmenter,0:=James 1:=Graham 2:=Bell 3:=ist 4:=ein 5:=Sprach-lehrer 6:=für 7:=Gehörlose.,"[[0, 1, 2, 3, 4, 5, 6, 7]]",1
94,alexander-mitscherlich,Karl Mitscherlich kam am 20. September 1908 auf die Welt.,AUG-94,AUG,It's augmentation time!,dataaugmenter,0:=Karl 1:=Mitscherlich 2:=kam 3:=am 4:=20. 5:=September 6:=1908 7:=auf 8:=die 9:=Welt.,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",1
95,alexander-mitscherlich,"In Österreich, Deutschland.",AUG-95,AUG,It's augmentation time!,dataaugmenter,"0:=In 1:=Österreich, 2:=Deutschland.",[],0
96,alexander-mitscherlich,"Er starb am 26. November 1982. \newline In Frankfurt am Main, Deutschland.",AUG-96,AUG,It's augmentation time!,dataaugmenter,"0:=Er 1:=starb 2:=am 3:=26. 4:=November 5:=1982. 6:=\newline 7:=In 8:=Frankfurt 9:=am 10:=Main, 11:=Deutschland.","[[2, 3, 4, 5], [7, 8, 9, 10], [7, 11]]",3
97,alexander-mitscherlich,Wolfgang Mitscherlich ist jetzt: • Arzt,AUG-97,AUG,It's augmentation time!,dataaugmenter,0:=Wolfgang 1:=Mitscherlich 2:=ist 3:=jetzt: 4:=• 5:=Arzt,"[[0, 1, 2, 3, 4, 5]]",1
98,alexander-mitscherlich,Wolfgang Mitscherlich ist tot: • Psychoanalytiker,AUG-98,AUG,It's augmentation time!,dataaugmenter,0:=Wolfgang 1:=Mitscherlich 2:=ist 3:=tot: 4:=• 5:=Psychoanalytiker,"[[0, 1, 2, 3, 4, 5]]",1
99,alexander-mitscherlich,Wolfgang Mitscherlich ist jetzt: • Hochschul-lehrer,AUG-99,AUG,It's augmentation time!,dataaugmenter,0:=Wolfgang 1:=Mitscherlich 2:=ist 3:=jetzt: 4:=• 5:=Hochschul-lehrer,"[[0, 1, 2, 3, 4, 5]]",1
100,alexander-mitscherlich,Karl Mitscherlich ist tot: • Schriftsteller,AUG-100,AUG,It's augmentation time!,dataaugmenter,0:=Karl 1:=Mitscherlich 2:=ist 3:=tot: 4:=• 5:=Schriftsteller,"[[0, 1, 2, 3, 4, 5]]",1
101,alexander-mitscherlich,Sein bestes Werk ist:,AUG-101,AUG,It's augmentation time!,dataaugmenter,0:=Sein 1:=bestes 2:=Werk 3:=ist:,"[[0, 1, 2, 3]]",1
102,alexander-mitscherlich,Die Zeit zu leben,AUG-102,AUG,It's augmentation time!,dataaugmenter,0:=Die 1:=Zeit 2:=zu 3:=leben,[],0
103,alexander-mitscherlich,Das Gedicht habe er gemeinsam mit seiner Frau Margarete Mitscherlich geschrieben.,AUG-103,AUG,It's augmentation time!,dataaugmenter,0:=Das 1:=Gedicht 2:=habe 3:=er 4:=gemeinsam 5:=mit 6:=seiner 7:=Frau 8:=Margarete 9:=Mitscherlich 10:=geschrieben.,"[[1, 2, 10], [4, 5, 6, 7], [7, 8, 9]]",3
